pcsa1,pcsa2,pcsa3,mag,,
6.74,8.7,5.01,120.52,,PCSA: cm^2
6.8,6.52,5.12,119.68,,mag: JRF in N
6.8,9.23,4.67,122.66,,
6.87,6.72,5.04,120.43,,
7.04,9.06,4.62,123.83,,
7.16,7.72,4.19,127.22,,
7.23,8.41,4.6,124.68,,
7.27,6.38,4.58,125.37,,
7.31,8.91,5.19,121.67,,
7.4,7.19,4.85,123.93,,
7.48,7.97,3.88,130.82,,
7.49,6.36,4.8,124.81,,
7.61,9.26,5.22,122.57,,
7.66,8.3,5.13,123.26,,
7.67,7.16,5,124.08,,
7.79,9.21,4.31,128.51,,
7.83,6.69,3.95,133.02,,
7.91,9.27,5.44,122.49,,
7.94,6.51,3.98,133.53,,
7.96,7.71,4.12,131.48,,
7.97,8.83,5.28,123.52,,
8,7.18,4.94,125.93,,
8.09,8.78,4.07,131.52,,
8.12,6.37,4.69,128.66,,
8.19,6.91,4.53,129.93,,
8.23,7.4,5.5,123.36,,
8.27,6.74,4.7,129.1,,
8.31,7.07,4.38,131.55,,
8.37,9.17,4.83,127.55,,
8.45,7.04,5.52,124.2,,
8.47,7.61,3.8,136.56,,
8.58,6.58,5.02,128.26,,
8.59,8.69,5.01,127.51,,
8.6,7.19,3.82,137.65,,
8.63,6.68,3.98,137.12,,
8.67,7.32,4.87,129.38,,
8.68,8.27,3.92,135.8,,
8.69,6.77,5.5,125.42,,
8.88,8.81,4.59,131.31,,
8.97,7.6,5.33,127.44,,
8.97,7.71,4.82,130.81,,
9.01,6.68,4.14,137.67,,
9.06,6.53,5.59,126.48,,
9.07,7.21,5.32,128.04,,
9.09,8.68,4.62,132.07,,
9.13,7.64,4.27,135.83,,
9.14,7.59,4.94,130.81,,
9.22,9.26,4.37,133.85,,
9.28,8.69,4,137.35,,
9.29,8.22,4.8,132.02,,
9.3,6.58,5.48,128.28,,
9.32,7.61,5.37,128.59,,
9.32,8.38,4.98,139.89,,
9.33,8.71,4.8,138.23,,
9.34,6.85,4.64,134.7,,
9.34,8.63,4.89,138.88,,
9.35,6.5,4.67,134.83,,
9.35,8.06,4.96,138.87,,
9.37,8.11,4.99,138.54,,
9.37,8.87,4.96,137.31,,
9.38,9.13,4.84,138.12,,
9.38,8.25,4.84,136.88,,
9.4,7.81,4.9,138.46,,
9.4,8.63,4.79,138.76,,
9.42,7.45,4.3,137.24,,
9.45,8.43,4.91,138.38,,
9.47,9.17,4.9,136.54,,
9.47,8.51,4.82,136.55,,
9.48,8.9,4.87,139.95,,
9.5,8.21,5.19,130.28,,
9.5,9.04,4.02,137.7,,
9.5,8.33,4.8,138.17,,
9.51,9.11,4.91,138.32,,
9.52,7.91,4.86,138.37,,
9.56,8.31,4.91,138.05,,
9.58,8.83,4.88,137.96,,
9.59,6.97,3.87,142.73,,
9.62,8.57,4.96,137.47,,
9.62,8.43,4.97,138.88,,
9.67,8.39,4.82,138,,
9.67,9.14,4.96,139.26,,
9.69,8.75,4.82,138.11,,
9.69,8.13,4.89,138.83,,
9.7,8.95,4.95,136.66,,
9.71,9.02,4.95,138.74,,
9.76,8.33,5,136.89,,
9.76,7.8,4.96,138.62,,
9.76,8.11,4.93,137.48,,
9.84,7.8,4.8,138.61,,
9.87,7.84,4.99,139.33,,
9.88,8.82,5,136.66,,
9.91,7.9,4.86,139.08,,
9.92,7.87,4.86,139.66,,
9.95,9.07,5.08,132.27,,
9.99,8.58,4.87,137.32,,
10.03,9.04,4.83,137.11,,
10.03,8.81,4.95,138.66,,
10.04,8.04,4.96,137,,
10.05,9.02,5.17,132.12,,
10.05,8.74,4.86,138.33,,
